Faculty Name,County Name,Beginning Date Q1,Ending Date Q1,Type of Hospital,Teaching/Rural Hospital,Available Beds Q1,Staff Beds Q1,Total Outpatient Visits Q1,Total Gross Inpatient Revenue Q1,Total Patient (Census) Days,Total Gross Outpatient Revenue Q1,Total Deductions from Revenue Q1,Total Capitation Premium Revenue Q1,Total Net Patient Revenue Q1,Total Operating Expenses Q1,Expenses (Inpatient) Q1,Expenses (Outpatient) Q1,PPC Expenses Q1,Log Total Outpatient Visits Q1,Log Total Gross Inpatient Revenue Q1,Log Total Patient (Census) Days Q1,Log Total Gross Outpatient Revenue Q1,Log Total Deductions from Revenue Q1,Log Total Capitation Premium Revenue Q1,Log Total Deductions from Revenue Q1,Log Total Net Patient Revenue Q1,Log Total Operating Expenses Q1,Log Expenses (Inpatient) Q1,Log Expenses (Outpatient) Q1,Log PPC Expenses Q1,Beginning Date Q2,Ending Date Q2,Available Beds Q2,Staff Beds Q2,Total Outpatient Visits Q2,Total Gross Inpatient Revenue Q2,Total Patient (Census) Days Q2,Total Gross Outpatient Revenue Q2,Total Deductions from Revenue Q2,Total Capitation Premium Revenue Q2,Total Net Patient Revenue Q2,Total Operating Expenses Q2,Inpatient Expenses Q2,Outpatient Expenses Q2,PCC Expenses Q2,Log Total Outpatient Visits Q2,Log Total Gross Inpatient Revenue Q2,Log Total Patient (Census) Days Q2,Log Total Gross Outpatient Revenue Q2,Log Total Deductions from Revenue Q2,Log Total Capitation Premium Revenue Q2,Log Total Deductions from Revenue Q2,Log Total Net Patient Revenue Q2,Log Total Operating Expenses Q2,Log Expenses (Inpatient) Q2,Log Expenses (Outpatient) Q2,Log PPC Expenses Q2
LAGUNA HONDA HOSPITAL AND REHABILITATION CENTER,San Francisco,1/1/2024,3/31/2024,Hospital-LTC Emphasis,N/A,780,780,1257,78553296,40492,1157538,50048258,0,29662576,90973618,0,0,0,7.137278437,18.1792879,10.6088844,13.96180676,17.8034407,15.46989946,17.8034407,17.20539678,18.32608012,0,0,0,4/1/2024,6/30/2024,780,780,1028,73855426,38308,775945,42339296,0,32292075,95380848,0,0,0,6.936342736,18.11762005,10.55344013,13.56183821,18.28858437,14.47025573,18.28858437,17.29033243,18.37338837,0,0,0
LAGUNA TREATMENT CENTER,Orange,1/1/2024,3/31/2024,Comparable,N/A,90,90,0,4729636,6073,0,0,0,4729636,4020001,0,0,0,0,15.36935901,8.711772646,0,15.17516855,15.46989946,15.17516855,15.36935901,15.20679296,0,0,0,4/1/2024,6/30/2024,90,90,0,5140455,6352,0,0,0,5140455,3927696,0,0,0,0,15.45265235,8.756682421,0,17.6285164,14.47025573,17.6285164,15.45265235,15.18356381,0,0,0
LANGLEY PORTER PSYCHIATRIC INSTITUTE,San Francisco,1/1/2024,3/31/2024,Comparable,N/A,30,30,1048,7090490,1739,1033479,3574378,0,4549591,4488191,0,0,0,6.955592608,15.77426515,7.461640392,13.84844231,15.82630368,15.46989946,15.82630368,15.33054812,15.31696051,0,0,0,4/1/2024,6/30/2024,30,30,1077,7712584,1922,1036710,4881576,0,3867718,9470609,0,0,0,6.982862751,15.85836397,7.561641746,13.85156376,17.73088662,14.47025573,17.73088662,15.16817549,16.06370388,0,0,0
LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL,San Bernardino,1/1/2024,3/31/2024,Comparable,N/A,364,262,42342,626716207,23791,152648473,643722349,0,135642331,170683239,0,0,0,10.6535584,20.25600438,10.07710467,18.84364828,20.28881035,15.46989946,20.28881035,18.72553207,18.95532,0,0,0,4/1/2024,6/30/2024,364,262,43720,544531878,21472,167532818,587932625,0,124132071,166116332,0,0,0,10.68558381,20.11543705,9.974551611,18.93668982,20.26632686,14.47025573,20.26632686,18.63685665,18.9281989,0,0,0
LOMA LINDA UNIVERSITY MEDICAL CENTER,San Bernardino,1/1/2024,3/31/2024,Comparable,Teaching,571,528,195253,1321821389,47582,870762097,1842612015,11022008,360993479,469276316,0,0,0,12.18205655,21.00227646,10.77023083,20.58487936,21.33656152,16.60371983,21.33656152,19.70437046,19.96670231,0,0,0,4/1/2024,6/30/2024,571,528,203967,1307780465,46720,906217454,1848979591,13534767,378553095,472475012,0,0,0,12.2257184,20.99159724,10.75194902,20.62478985,21.36209724,16.55372902,21.36209724,19.7518669,19.97349542,0,0,0
LOMA LINDA UNIVERSITY MEDICAL CENTER - MURRIETA,Riverside,1/1/2024,3/31/2024,Comparable,N/A,155,145,41444,232469753,11824,148775966,310257839,0,70987880,86739952,0,0,0,10.63212253,19.26427068,9.377971213,18.81795216,19.56538973,15.46989946,19.56538973,18.07801973,18.27842515,0,0,0,4/1/2024,6/30/2024,155,145,42639,229058966,11184,155327767,313862301,0,70524432,90376350,0,0,0,10.66054806,19.24949003,9.322328874,18.86104807,19.69924695,14.47025573,19.69924695,18.07146978,18.31949319,0,0,0
LOMPOC VALLEY MEDICAL CENTER,Santa Barbara,1/1/2024,3/31/2024,Comparable,Rural,170,170,18117,30765700,10438,62375258,59769247,220389,33592100,38905359,0,0,0,9.804661198,17.24191102,9.253304071,17.94867926,17.96913151,15.51117607,17.96913151,17.32980151,17.47664259,0,0,0,4/1/2024,6/30/2024,170,170,19014,32107955,10327,67741631,62828711,221928,37242803,42055640,0,0,0,9.85298342,17.28461441,9.242613933,18.0312115,18.49870667,14.57938644,18.49870667,17.4329693,17.55450409,0,0,0
LOS ANGELES COMMUNITY HOSPITAL,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,212,174,2280,203493576,15769,14599059,162362729,0,55729906,42411110,0,0,0,7.732369222,19.131145,9.66586468,16.4964677,18.92904889,15.46989946,18.92904889,17.83602749,17.56292094,0,0,0,4/1/2024,6/30/2024,212,176,2498,197988696,15930,16321101,160609606,0,53700191,43686555,0,0,0,7.823645931,19.1037205,9.676022176,16.60796943,19.14288157,14.47025573,19.14288157,17.79892713,17.59255097,0,0,0
LOS ANGELES GENERAL MEDICAL CENTER,Los Angeles,1/1/2024,3/31/2024,Comparable,Teaching,670,497,124228,720752423,43097,449992393,750327357,67816260,488233719,427854451,0,0,58459358,11.72988192,20.39580626,10.67123187,19.92474124,20.4411976,18.1066019,20.4411976,20.00630478,19.87429363,0,0,17.88384235,4/1/2024,6/30/2024,670,485,127167,697562986,41996,462305852,754294868,54671347,460245317,504742984,0,0,34183216,11.75326433,20.36310337,10.64535347,19.95173725,20.49959868,17.85144885,20.49959868,19.94727021,20.03955992,0,0,17.34724535
LOS ROBLES HOSPITAL AND MEDICAL CENTER,Ventura,1/1/2024,3/31/2024,Comparable,N/A,345,345,24982,864491173,21032,477415792,1202569871,0,139337094,103959363,0,0,0,10.12595087,20.57765165,9.953847912,19.98389835,20.91096021,15.46989946,20.91096021,18.7524067,18.45951065,0,0,0,4/1/2024,6/30/2024,345,345,25643,932585500,21638,511711053,1291878758,0,152417795,107174969,0,0,0,10.15206491,20.6534714,9.982252521,20.05327068,21.01381762,14.47025573,21.01381762,18.84213597,18.48997329,0,0,0
LUCILE SALTER PACKARD CHILDREN'S HOSPITAL AT STANFORD,Santa Clara,1/1/2024,3/31/2024,Comparable,N/A,394,310,126271,1670149367,25680,558797997,1652655425,0,576291939,650681423,0,0,0,11.74619359,21.2361789,10.1535067,20.1412986,21.22800314,15.46989946,21.22800314,20.17212493,20.29353072,0,0,0,4/1/2024,6/30/2024,394,317,128254,1727505710,26232,579209128,1710067352,0,596647486,669655455,0,0,0,11.76177575,21.26994442,10.17477344,20.17717416,21.28593622,14.47025573,21.28593622,20.20683702,20.32227389,0,0,0
MAD RIVER COMMUNITY HOSPITAL,Humboldt,1/1/2024,3/31/2024,Comparable,N/A,46,42,21146,9606444,1067,46409827,42246222,0,13770049,13016285,0,0,0,9.95925333,16.07794479,6.97354302,17.65302181,17.64721428,15.46989946,17.64721428,16.4380065,16.3817119,0,0,0,4/1/2024,6/30/2024,46,42,21891,9508522,1017,47505892,43033792,0,13980622,14749183,0,0,0,9.993876552,16.06769911,6.925595197,17.67636432,18.29647884,14.47025573,18.29647884,16.45318286,16.50669832,0,0,0
MAMMOTH HOSPITAL,Mono,1/1/2024,3/31/2024,Comparable,Rural,17,17,27783,9227536,373,41912053,20972666,0,30166923,25889458,0,0,0,10.23221559,16.03770272,5.924255797,17.55108403,17.02907337,15.46989946,17.02907337,17.22225665,17.06934646,0,0,0,4/1/2024,6/30/2024,17,17,27801,7248873,377,37283946,13639861,4668829,35561787,22501135,0,0,0,10.23286324,15.7963567,5.934894196,17.43407342,17.89179669,15.70159199,17.89179669,17.38678225,16.92907635,0,0,0
MARIAN MEDICAL CENTER,Santa Barbara,1/1/2024,3/31/2024,Comparable,N/A,353,303,113122,377674750,25098,451757166,652663438,28295065,205063543,185425459,0,0,0,11.636231,19.74954394,10.13058328,19.92865535,20.30252205,17.32780044,20.30252205,19.13883046,19.03816353,0,0,0,4/1/2024,6/30/2024,353,293,113942,366237312,24279,464272364,652535254,28582982,206557404,185093349,0,0,0,11.6434536,19.71879208,10.09740825,19.95598193,20.36347406,17.23348751,20.36347406,19.14608892,19.03637085,0,0,0
MARIE GREEN PSYCHIATRIC CENTER - PHF,Merced,1/1/2024,3/31/2024,Psychiatric Health Facilities,N/A,16,16,0,3109224,855,0,0,0,3109224,2081316,0,0,0,0,14.94988406,6.752270376,0,15.17516855,15.46989946,15.17516855,14.94988406,14.54851142,0,0,0,4/1/2024,6/30/2024,16,16,0,3112861,856,0,0,0,3112861,1965298,0,0,0,0,14.95105312,6.753437919,0,17.6285164,14.47025573,17.6285164,14.95105312,14.49115495,0,0,0
MARIN GENERAL HOSPITAL,Marin,1/1/2024,3/31/2024,Comparable,N/A,235,235,46498,439822675,12780,526159654,825552721,13169081,153598689,153855346,0,0,0,10.74718609,19.90188219,9.455714972,20.08111525,20.53627047,16.72780492,20.53627047,18.84985385,18.85152341,0,0,0,4/1/2024,6/30/2024,235,235,51306,453478876,12453,563592758,876829524,13192128,153434238,159559491,0,0,0,10.84558247,19.93245925,9.429797135,20.14984249,20.64218146,16.53131594,20.64218146,18.84878262,18.8879274,0,0,0
MARK TWAIN MEDICAL CENTER,Calaveras,1/1/2024,3/31/2024,Comparable,Rural,25,7,23925,14236347,570,45267847,39784282,133,19720045,21675814,0,0,0,10.08272101,16.47130897,6.34738921,17.62810758,17.59238127,15.4699249,17.59238127,16.79714624,16.89170768,0,0,0,4/1/2024,6/30/2024,25,8,23873,17190157,708,44177538,37877351,11638,23501982,22468219,0,0,0,10.08054528,16.65984757,6.563855527,17.60372705,18.23632162,14.47628433,18.23632162,16.97259536,16.92761242,0,0,0
MARSHALL MEDICAL CENTER,El Dorado,1/1/2024,3/31/2024,Comparable,Rural,110,49,93707,113891652,4259,243125315,273088459,85483,84013991,83559207,0,0,14452514,11.44793884,18.55075814,8.357024439,19.30908757,19.43946785,15.48611243,19.43946785,18.24649391,18.24106602,0,0,16.48637901,4/1/2024,6/30/2024,110,50,93046,117500977,4444,256574752,288642981,129221,85561969,82391430,0,0,14671186,11.44086002,18.58195721,8.399535148,19.36293061,19.62643997,14.53523784,19.62643997,18.26475147,18.226992,0,0,16.50139606
"MARTIN LUTHER KING, JR. COMMUNITY HOSPITAL",Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,160,160,30643,527241554,13910,599368837,1043384090,0,83226301,102536364,0,0,0,10.33019216,20.08316936,9.540435173,20.21138772,20.76946116,15.46989946,20.76946116,18.23707399,18.44572807,0,0,0,4/1/2024,6/30/2024,145,145,31974,490250497,12777,623655471,1008715747,0,105190221,122246906,0,0,0,10.37270963,20.01042704,9.455480221,20.25110865,20.77586028,14.47025573,20.77586028,18.47128091,18.62155339,0,0,0
MAYERS MEMORIAL HOSPITAL,Shasta,1/1/2024,3/31/2024,Comparable,Rural,115,115,5005,7742521,7732,8616243,5646179,0,10712585,11657049,0,0,335274,8.518392472,15.86223803,8.953252165,15.96915982,16.07111305,15.46989946,16.07111305,16.18692987,16.27142171,0,0,12.72270637,4/1/2024,6/30/2024,115,115,4783,7699629,7677,9029120,8082406,0,8646343,12091918,0,0,428792,8.473032296,15.85668283,8.946114376,16.01596558,17.79273619,14.47025573,17.79273619,15.97264713,16.30804794,0,0,12.96872956
MEMORIAL HOSPITAL LOS BANOS,Merced,1/1/2024,3/31/2024,Comparable,Rural,38,19,25319,25523901,1356,72236284,66584104,0,31176081,22301373,0,0,0,10.13934988,17.0551259,7.21303166,18.09545304,18.07082485,15.46989946,18.07082485,17.25516176,16.92015885,0,0,0,4/1/2024,6/30/2024,38,19,27942,25193445,1356,76409508,74605869,0,26997084,11868228,0,0,0,10.237922,17.04209444,7.21303166,18.15161771,18.60210379,14.47025573,18.60210379,17.11123946,16.28937556,0,0,0
MEMORIAL HOSPITAL MODESTO,Stanislaus,1/1/2024,3/31/2024,Comparable,N/A,419,333,51083,510837528,26483,340205941,646590314,19547029,224000184,205100070,0,0,0,10.84122662,20.05156215,10.18429606,19.6450617,20.29322907,17.02542281,20.29322907,19.22715744,19.13900857,0,0,0,4/1/2024,6/30/2024,419,336,57085,522269083,26726,353849622,677554064,19644141,218208782,175519198,0,0,0,10.95231418,20.0736935,10.19342957,19.68438259,20.39869904,16.88675806,20.39869904,19.20096288,18.98325899,0,0,0
MEMORIAL HOSPITAL OF GARDENA,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,172,149,9269,150009292,12020,54546438,175070702,11453337,40938365,39408708,0,0,0,9.134538659,18.8262078,9.394410399,17.81456299,19.00270396,16.62991398,19.00270396,17.52757823,17.48949739,0,0,0,4/1/2024,6/30/2024,172,172,9161,150889834,12215,55444844,177258355,13255085,42331408,42178054,0,0,0,9.122819774,18.83206056,9.410501847,17.8308993,19.2206386,16.535472,19.2206386,17.5610399,17.55741062,0,0,0
MEMORIALCARE LONG BEACH MEDICAL CENTER,Los Angeles,1/1/2024,3/31/2024,Comparable,Teaching,453,313,59722,739723540,25924,445679264,991589077,11468985,205282712,201023735,0,0,0,10.99747248,20.42178708,10.16296303,19.91511011,20.71873955,16.63085149,20.71873955,19.13989867,19.11893355,0,0,0,4/1/2024,6/30/2024,453,306,58836,710697164,25295,450430417,965122000,16259009,212264590,207517226,0,0,0,10.98252619,20.38175697,10.13840156,19.92571417,20.7336204,16.716034,20.7336204,19.17334413,19.15072492,0,0,0
MEMORIALCARE MILLER CHILDREN'S & WOMEN'S HOSPITAL LONG BEACH,Los Angeles,1/1/2024,3/31/2024,Comparable,Teaching,357,185,29047,371922981,15267,59905695,312495407,0,119333269,139211026,0,0,0,10.27670491,19.73419735,9.633514414,17.90828215,19.57248703,15.46989946,19.57248703,18.59743072,18.75150152,0,0,0,4/1/2024,6/30/2024,357,174,29796,340138705,14424,59023482,279600283,0,119561904,149031624,0,0,0,10.302163,19.64486405,9.576718091,17.89344594,19.59898688,14.47025573,19.59898688,18.59934483,18.81966909,0,0,0
MEMORIALCARE ORANGE COAST MEDICAL CENTER,Orange,1/1/2024,3/31/2024,Comparable,N/A,221,167,38944,417181286,13809,327710767,636093436,23305887,132104504,120627007,0,0,0,10.56990567,19.84903143,9.533148246,19.60764197,20.27696045,17.16666895,20.27696045,18.69910387,18.60821376,0,0,0,4/1/2024,6/30/2024,221,156,39804,402270718,12866,340048043,633236051,25172359,134255069,131388266,0,0,0,10.59174781,19.81263585,9.462421173,19.64459747,20.33542806,17.11493398,20.33542806,18.71525206,18.69366737,0,0,0
MEMORIALCARE SADDLEBACK MEDICAL CENTER,Orange,1/1/2024,3/31/2024,Comparable,N/A,248,142,73200,328373439,11716,260477117,489288010,15493948,115056494,106694168,0,0,0,11.20096436,19.60966206,9.368796058,19.37802558,20.0163906,16.84679485,20.0163906,18.56093383,18.48547707,0,0,0,4/1/2024,6/30/2024,248,129,71467,306021336,10651,256550810,464187190,14898178,113283134,107314530,0,0,0,11.17700508,19.53916539,9.273502947,19.3628373,20.04888849,16.63824745,20.04888849,18.54540086,18.49127462,0,0,0
MENIFEE GLOBAL MEDICAL CENTER,Riverside,1/1/2024,3/31/2024,Comparable,N/A,84,84,4814,34330368,3799,17773959,42380873,0,9723454,10457338,0,0,299986,8.479491324,17.35154091,8.242756346,16.69324502,17.65012828,15.46989946,17.65012828,16.09005157,16.16281459,0,0,12.61149442,4/1/2024,6/30/2024,84,84,5179,34914850,3659,20646712,43675846,0,11885716,14889071,0,0,351230,8.552560335,17.36842283,8.205218426,16.84306669,18.30372216,14.47025573,18.30372216,16.29084799,16.51613808,0,0,12.76919941
MERCY GENERAL HOSPITAL,Sacramento,1/1/2024,3/31/2024,Comparable,N/A,313,220,28991,658376929,18272,319176387,807938861,23970987,193585442,186053244,0,0,0,10.27477521,20.30528817,9.81317984,19.58125445,20.5148061,17.18970906,20.5148061,19.08122954,19.04154345,0,0,0,4/1/2024,6/30/2024,313,207,29193,633958216,17188,323602700,788989737,26368421,194939600,187028898,0,0,0,10.28171849,20.26749361,9.752024923,19.59502709,20.54207495,17.15812756,20.54207495,19.08820033,19.0467737,0,0,0
MERCY HOSPITAL - BAKERSFIELD,Kern,1/1/2024,3/31/2024,Comparable,N/A,229,138,23262,234563681,11465,203589854,347829653,12097362,102421244,101148081,0,0,0,10.05461939,19.27323767,9.347141413,19.13161801,19.6783588,16.66779068,19.6783588,18.44460472,18.43209616,0,0,0,4/1/2024,6/30/2024,229,128,25158,221939796,10661,228350782,355370607,14554408,109474379,103746851,0,0,0,10.13297096,19.21791672,9.274441297,19.24639353,19.80861617,16.61760104,19.80861617,18.51120111,18.45746437,0,0,0
MERCY HOSPITAL - FOLSOM,Sacramento,1/1/2024,3/31/2024,Comparable,N/A,106,86,14276,168404635,7138,149250023,251867792,8413392,74200258,63756953,0,0,0,9.56640513,18.94188019,8.87332799,18.82113347,19.35976044,16.42875728,19.35976044,18.1222782,17.97058882,0,0,0,4/1/2024,6/30/2024,106,82,14554,170607082,6808,151377067,255025041,9609442,76568550,65150423,0,0,0,9.585689856,18.95487371,8.826000545,18.83528442,19.52033049,16.2608179,19.52033049,18.15369699,17.99220937,0,0,0
MERCY MEDICAL CENTER - MERCED,Merced,1/1/2024,3/31/2024,Comparable,N/A,186,144,37828,258976280,11961,269787378,425013789,164030,103913899,97509347,0,0,0,10.54083128,19.37224704,9.389490238,19.41314472,19.87675452,15.50078165,19.87675452,18.45907323,18.39545881,0,0,0,4/1/2024,6/30/2024,186,143,39984,253984303,11848,269029685,416255139,4956376,111715225,99135832,0,0,0,10.59625966,19.35278303,9.379998755,19.41033229,19.95008253,15.74427862,19.95008253,18.53146357,18.41200152,0,0,0
MERCY MEDICAL CENTER - MT. SHASTA,Siskiyou,1/1/2024,3/31/2024,Comparable,Rural,25,8,19476,8989282,548,33877867,25020596,97755,17944308,17136181,0,0,0,9.876989561,16.01154365,6.308098442,17.3382725,17.17988685,15.48841855,17.17988685,16.70278358,16.65670269,0,0,0,4/1/2024,6/30/2024,25,7,18267,9516997,616,34938363,25345381,16734,19126713,18355982,0,0,0,9.812906174,16.06859002,6.424869024,17.36909604,18.07299016,14.47891271,18.07299016,16.76659655,16.72546613,0,0,0
MERCY MEDICAL CENTER - REDDING,Shasta,1/1/2024,3/31/2024,Comparable,N/A,260,207,45813,368670526,17133,289031807,499624521,621201,158699013,151089894,0,0,0,10.732345,19.72541392,9.748820073,19.4820473,20.03713276,15.5821375,20.03713276,18.88251997,18.83338555,0,0,0,4/1/2024,6/30/2024,260,200,46152,372016381,16628,298228278,514468620,117457,155893496,148974151,0,0,0,10.73971724,19.73444845,9.718903438,19.51336979,20.14300971,14.52949366,20.14300971,18.86468362,18.81928337,0,0,0
MERCY SAN JUAN MEDICAL CENTER,Sacramento,1/1/2024,3/31/2024,Comparable,N/A,384,320,32393,637233429,26505,266495220,731681892,22578310,194625067,198801242,0,0,0,10.3857285,20.2726466,10.1851264,19.40086687,20.41616545,17.14084125,20.41616545,19.08658554,19.1078161,0,0,0,4/1/2024,6/30/2024,384,298,35067,626142013,24682,294440120,743046969,25124190,202659354,201834467,0,0,0,10.46504431,20.25508776,10.11387003,19.50058622,20.48543156,17.11315475,20.48543156,19.12703707,19.12295845,0,0,0
MERRITT PERALTA INSTITUTE CDRH,Alameda,1/1/2024,3/31/2024,Comparable,N/A,24,10,467,1830934,707,636746,1281754,0,1185926,1060483,0,0,0,6.148468296,14.42033732,6.562444094,13.36412768,15.45966193,15.46989946,15.45966193,13.98603531,13.87423597,0,0,0,4/1/2024,6/30/2024,24,10,403,1677047,679,892749,870867,0,1698929,1153468,0,0,0,6.001414878,14.33254566,6.522092798,13.70206187,17.64756406,14.47025573,17.64756406,14.3455092,13.95828448,0,0,0
METHODIST HOSPITAL - SACRAMENTO,Sacramento,1/1/2024,3/31/2024,Comparable,N/A,329,278,18208,222132322,23071,159632608,302599608,9217858,88383180,94366869,0,0,0,9.809671256,19.21878381,10.04637504,18.88838554,19.54071027,16.48604863,19.54071027,18.29719225,18.36270062,0,0,0,4/1/2024,6/30/2024,329,272,19734,215189001,22513,173535234,305625238,10272783,93371780,97209759,0,0,0,9.890148988,19.18702728,10.02189262,18.97189122,19.67604489,16.31673624,19.67604489,18.35209973,18.39238168,0,0,0
METROPOLITAN STATE HOSPITAL,Los Angeles,1/1/2024,3/31/2024,State Hospitals,N/A,1042,1042,0,74314513,76266,0,2451,0,74312062,88982765,0,0,0,0,18.12381683,11.24199562,0,15.17579764,15.46989946,15.17579764,18.12378385,18.30395327,0,0,0,4/1/2024,6/30/2024,1042,1042,0,75508072,77293,0,1865,0,75506207,94469030,0,0,0,0,18.13975014,11.25537161,0,17.62855758,14.47025573,17.62855758,18.13972544,18.36378262,0,0,0
MILLS-PENINSULA MEDICAL CENTER,San Mateo,1/1/2024,3/31/2024,Comparable,N/A,301,207,34864,294244538,16097,322713545,434260585,29040853,211738351,212044775,0,0,0,10.45923874,19.49992174,9.68645032,19.59227563,19.8980843,17.34980237,19.8980843,19.17086188,19.17230802,0,0,0,4/1/2024,6/30/2024,301,207,38555,296087525,16067,338515252,444195678,32269264,222676363,205642359,0,0,0,10.55986701,19.50616566,9.684584995,19.64007971,20.00885832,17.34755829,20.00885832,19.22122999,19.1416491,0,0,0
MISSION COMMUNITY HOSPITAL - PANORAMA,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,145,142,2876,134613232,10207,31823168,133632303,0,32804097,35166207,0,0,0,7.964503364,18.71791628,9.230927006,17.27570517,18.73933201,15.46989946,18.73933201,17.306064,17.37559618,0,0,0,4/1/2024,6/30/2024,145,142,3133,135218321,10470,35063977,138710138,0,31572160,36184440,0,0,0,8.050065423,18.72240123,9.25636481,17.37268489,19.03042727,14.47025573,19.03042727,17.26778631,17.40413978,0,0,0
MODOC MEDICAL CENTER,Modoc,1/1/2024,3/31/2024,Comparable,Rural,58,58,7991,4367507,4961,8876218,-3894860,177181,17315766,9285795,0,0,0,8.98619632,15.28970315,8.509564164,15.99888624,0,15.5032168,0,16.66712803,16.04399648,0,0,0,4/1/2024,6/30/2024,58,58,8082,4396790,4942,9896517,4286603,130693,10137397,10521335,0,0,0,8.99751837,15.29638551,8.505727713,16.10769354,17.7189561,14.53595428,17.7189561,16.13174192,16.16891575,0,0,0
MONROVIA MEMORIAL HOSPITAL,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,49,49,30,48555445,2642,1053889,42763756,0,6845578,5628269,0,0,0,3.433987204,17.69821692,7.879669915,13.86799864,17.65836818,15.46989946,17.65836818,15.7391136,15.54331267,0,0,0,4/1/2024,6/30/2024,49,49,45,40714448,1926,1081574,35014101,0,6781921,5650286,0,0,0,3.828641396,17.5220936,7.563719668,13.89392887,18.20128589,14.47025573,18.20128589,15.7297711,15.5472169,0,0,0
MONTCLAIR HOSPITAL MEDICAL CENTER,San Bernardino,1/1/2024,3/31/2024,Comparable,N/A,106,106,6618,44274454,2681,35409816,64871178,0,14813092,14041416,0,0,0,8.79769958,17.60591843,7.894318064,17.38249966,18.04622056,15.46989946,18.04622056,16.51102201,16.45752188,0,0,0,4/1/2024,6/30/2024,106,106,6905,46165914,2909,36425118,66129096,0,16461936,14491743,0,0,0,8.840145878,17.64775231,7.97590836,17.41076918,18.5287766,14.47025573,18.5287766,16.61656143,16.48908967,0,0,0
MONTEREY PARK HOSPITAL,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,101,44,5859,78767913,3999,63430710,128483708,9967382,23682297,24299144,0,0,0,8.675904883,18.18201629,8.29404964,17.9654587,18.70117632,16.53662604,18.70117632,16.98023841,17.00595172,0,0,0,4/1/2024,6/30/2024,101,43,6394,77449843,3897,65522642,124349256,10832302,29455531,27594943,0,0,0,8.763271714,18.16514111,8.26821888,17.99790634,18.94916325,16.36158709,18.94916325,17.19839229,17.13314313,0,0,0
MOTION PICTURE AND TELEVISION HOSPITAL,Los Angeles,1/1/2024,3/31/2024,Comparable,N/A,261,207,0,10249947,17360,0,2149199,0,8100748,16652953,0,0,0,0,16.14278319,9.76198159,0,15.61458653,15.46989946,15.61458653,15.90746708,16.62809818,0,0,0,4/1/2024,6/30/2024,301,277,0,11210131,24889,0,2442550,0,8767581,17273684,0,0,0,0,16.23232857,10.1222214,0,17.68104781,14.47025573,17.68104781,15.98657161,16.6646948,0,0,0
MOUNTAINS COMMUNITY HOSPITAL,San Bernardino,1/1/2024,3/31/2024,Comparable,Rural,37,28,9888,3224103,2083,12938200,9782346,0,6379957,9572553,0,0,0,9.199178307,14.98616564,7.642044403,16.37569481,16.43124128,15.46989946,16.43124128,15.66867207,16.0744106,0,0,0,4/1/2024,6/30/2024,37,28,10364,2691363,2008,13045897,-282951,0,16020211,9820700,0,0,0,9.246190025,14.80555869,7.605392365,16.38398431,17.62224876,14.47025573,17.62224876,16.58936173,16.10000306,0,0,0
NAPA STATE HOSPITAL,Napa,1/1/2024,3/31/2024,State Hospitals,N/A,1216,1216,0,68117580,100139,0,1534,0,68116046,112937206,0,0,0,0,18.0367459,11.51432449,0,15.17556232,15.46989946,15.17556232,18.03672338,18.54234253,0,0,0,4/1/2024,6/30/2024,1198,1198,0,67721961,98977,0,2494,0,67719467,110885086,0,0,0,0,18.03092109,11.50265288,0,17.62857147,14.47025573,17.62857147,18.03088426,18.52400497,0,0,0
NATIVIDAD MEDICAL CENTER,Monterey,1/1/2024,3/31/2024,Comparable,N/A,168,168,52738,235916072,11661,129008964,279191222,0,85733814,105147210,0,0,0,10.8731105,19.27898668,9.364090972,18.67539246,19.46126159,15.46989946,19.46126159,18.26675788,18.47087194,0,0,0,4/1/2024,6/30/2024,168,168,55351,244080191,11787,134847353,288745313,0,90182231,107407785,0,0,0,10.92146807,19.31300738,9.374837344,18.71965399,19.62674637,14.47025573,19.62674637,18.31734298,18.49214323,0,0,0
NORTH VALLEY BEHAVIORAL HEALTH - PHF,Sutter,1/1/2024,3/31/2024,Psychiatric Health Facilities,N/A,16,16,0,1528695,1448,0,0,0,1528695,1436267,0,0,0,0,14.23992564,7.278628942,0,15.17516855,15.46989946,15.17516855,14.23992564,14.17755864,0,0,0,4/1/2024,6/30/2024,16,16,0,1521310,1439,0,0,0,1521310,1844888,0,0,0,0,14.23508302,7.272398393,0,17.6285164,14.47025573,17.6285164,14.23508302,14.42792967,0,0,0
NORTHBAY MEDICAL CENTER,Solano,1/1/2024,3/31/2024,Comparable,N/A,204,183,98732,632210753,12742,561313158,1023400594,29009135,199132452,195837938,0,0,0,11.50017452,20.26473337,9.45273738,20.14578952,20.75019541,17.34887643,20.75019541,19.10948075,19.09279803,0,0,0,4/1/2024,6/30/2024,204,183,100429,606401770,12271,581093038,1008558187,29601880,208538501,194928478,0,0,0,11.51721625,20.22305331,9.415075524,20.18042144,20.77571079,17.26634003,20.77571079,19.15563424,19.08814327,0,0,0
